Criterion ID,Platform name,Major version,Minor version,Operator type
630161,iOS,2,0,GREATER_THAN_EQUAL_TO
630162,iOS,2,0,EQUAL_TO
630163,iOS,2,1,GREATER_THAN_EQUAL_TO
630164,iOS,2,1,EQUAL_TO
630165,iOS,2,2,GREATER_THAN_EQUAL_TO
630166,iOS,2,2,EQUAL_TO
630167,iOS,3,0,GREATER_THAN_EQUAL_TO
630168,iOS,3,0,EQUAL_TO
630169,iOS,3,1,GREATER_THAN_EQUAL_TO
630170,iOS,3,1,EQUAL_TO
630171,iOS,3,2,GREATER_THAN_EQUAL_TO
630172,iOS,3,2,EQUAL_TO
630173,iOS,4,0,GREATER_THAN_EQUAL_TO
630174,iOS,4,0,EQUAL_TO
630175,Android,0,5,GREATER_THAN_EQUAL_TO
630176,Android,0,5,EQUAL_TO
630177,Android,1,0,GREATER_THAN_EQUAL_TO
630178,Android,1,0,EQUAL_TO
630179,Android,1,1,GREATER_THAN_EQUAL_TO
630180,Android,1,1,EQUAL_TO
630181,Android,1,5,GREATER_THAN_EQUAL_TO
630182,Android,1,5,EQUAL_TO
630183,Android,1,6,GREATER_THAN_EQUAL_TO
630184,Android,1,6,EQUAL_TO
630185,Android,2,0,GREATER_THAN_EQUAL_TO
630186,Android,2,0,EQUAL_TO
630187,Android,2,1,GREATER_THAN_EQUAL_TO
630188,Android,2,1,EQUAL_TO
630189,Android,2,2,GREATER_THAN_EQUAL_TO
630190,Android,2,2,EQUAL_TO
630220,Android,2,3,GREATER_THAN_EQUAL_TO
630221,Android,2,3,EQUAL_TO
630222,Android,3,0,GREATER_THAN_EQUAL_TO
630223,Android,3,0,EQUAL_TO
630224,Android,3,1,GREATER_THAN_EQUAL_TO
630225,Android,3,1,EQUAL_TO
630226,Android,3,2,GREATER_THAN_EQUAL_TO
630227,Android,3,2,EQUAL_TO
630228,iOS,4,1,GREATER_THAN_EQUAL_TO
630229,iOS,4,1,EQUAL_TO
630230,iOS,4,2,GREATER_THAN_EQUAL_TO
630231,iOS,4,2,EQUAL_TO
630232,iOS,4,3,GREATER_THAN_EQUAL_TO
630233,iOS,4,3,EQUAL_TO
630234,iOS,5,0,GREATER_THAN_EQUAL_TO
630235,iOS,5,0,EQUAL_TO
630236,Android,4,0,GREATER_THAN_EQUAL_TO
630237,Android,4,0,EQUAL_TO
630238,iOS,5,1,GREATER_THAN_EQUAL_TO
630239,iOS,5,1,EQUAL_TO
630257,Android,4,1,GREATER_THAN_EQUAL_TO
630258,Android,4,1,EQUAL_TO
630264,iOS,6,0,GREATER_THAN_EQUAL_TO
630265,iOS,6,0,EQUAL_TO
630270,WindowsPhone,8,0,EQUAL_TO
630272,Android,4,2,EQUAL_TO
630274,iOS,6,1,EQUAL_TO
630278,Android,4,3,EQUAL_TO
630280,Android,4,4,EQUAL_TO
630284,iOS,7,1,EQUAL_TO
630286,iOS,8,0,EQUAL_TO
630288,Android,5,0,EQUAL_TO
630290,iOS,8,1,EQUAL_TO
630296,iOS,8,2,EQUAL_TO
630298,Android,5,1,EQUAL_TO
630302,iOS,8,3,EQUAL_TO
630304,iOS,9,0,EQUAL_TO
630306,iOS,8,4,EQUAL_TO
630308,iOS,9,1,EQUAL_TO
630310,Android,6,0,EQUAL_TO
630312,iOS,9,2,EQUAL_TO
630319,iOS,9,3,EQUAL_TO
630321,iOS,10,0,EQUAL_TO
630323,Android,7,0,EQUAL_TO
630327,iOS,10,1,EQUAL_TO
630329,iOS,10,2,EQUAL_TO
630331,Android,7,1,EQUAL_TO
630333,iOS,10,3,EQUAL_TO
630336,iOS,11,0,GREATER_THAN_EQUAL_TO
630337,iOS,11,0,EQUAL_TO
